session,section,total_mouseleave-doc_count,total_search_count,total_mouseenter-doc_count,total_drag-start_count,total_drag-end_count,total_open-doc_count,total_collapse-doc_count,total_end-study_count,total_end-notes_count,mouseleave-doc_ratio,search_ratio,mouseenter-doc_ratio,drag-start_ratio,drag-end_ratio,open-doc_ratio,collapse-doc_ratio,end-study_ratio,end-notes_ratio,total_interaction_count,total_duration,repeat_searches,prop_repeat_searches,search_term_similarity,search_time_std_dev,search_open_overlap,search_term_efficiency
Burster.json,group1,45,11,44,11,11,11,11,1,1,0.308219178,0.075342466,0.301369863,0.075342466,0.075342466,0.075342466,0.075342466,0.006849315,0.006849315,146,105.669,6,0.545454545,0,37.13535117,0.318181818,6.636363636
Cycler.json,group1,119,0,119,10,10,25,25,1,1,0.383870968,0,0.383870968,0.032258065,0.032258065,0.080645161,0.080645161,0.003225806,0.003225806,310,130.429,0,0,0,0,0,0
Digger.json,group1,160,1,159,27,27,27,0,1,1,0.397022333,0.00248139,0.394540943,0.066997519,0.066997519,0.066997519,0,0.00248139,0.00248139,403,73.957,0,0,0,300,0,27
Efficient Queryer.json,group2,78,5,78,11,11,12,9,1,1,0.378640777,0.024271845,0.378640777,0.053398058,0.053398058,0.058252427,0.04368932,0.004854369,0.004854369,206,117.212,0,0,0,17.1587662,0.316666667,3.4
Explorer.json,group2,522,0,521,82,82,103,0,1,1,0.397865854,0,0.397103659,0.0625,0.0625,0.078506098,0,0.000762195,0.000762195,1312,292.51,0,0,0,0,0,0
Fixated.json,group1,38,10,38,9,9,4,0,1,1,0.345454545,0.090909091,0.345454545,0.081818182,0.081818182,0.036363636,0,0.009090909,0.009090909,110,117.171,1,0.1,0,12.8772057,0.475,3.6
Inefficient Queryer.json,group2,13,5,13,0,0,2,0,1,1,0.361111111,0.138888889,0.361111111,0,0,0.055555556,0,0.027777778,0.027777778,36,53.465,0,0,0,11.02448138,0.2,1
Irrelevanter.json,group1,0,5,0,0,0,0,0,1,1,0,0.714285714,0,0,0,0,0,0.142857143,0.142857143,7,26.794,0,0,0,2.317649952,0,0
Maximal Queryer.json,group2,0,3,0,0,0,0,0,1,1,0,0.6,0,0,0,0,0,0.2,0.2,5,19.586,0,0,0,2.554012029,0,99
Non-cycler.json,group2,228,0,228,15,15,16,0,1,1,0.452380952,0,0.452380952,0.029761905,0.029761905,0.031746032,0,0.001984127,0.001984127,504,143.251,0,0,0,0,0,0
Nuller.json,group2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0.5,2,7.245,0,0,0,0,0,0